date;link;name;where;price;perm;rooms;sqm;who
20230802;/pl/oferta/mieszkanie-54-m-lodz-ID4mkSG;Mieszkanie, 54 m², Łódź;Mileszki, Widzew, Łódź, łódzkie;420 000 zł;7778 zł/m²;2 pokoje;54 m²;Oferta prywatna
20230802;/pl/oferta/3-pokojowe-mieszkanie-72m2-balkon-bezposrednio-ID4kSDP;3-pokojowe mieszkanie 72m2 + balkon Bezpośrednio;ul. Mania, Zdrowie, Polesie, Łódź, łódzkie;Zapytaj o cenę;;3 pokoje;72.39 m²;Esembla GroupInwestycja deweloperska
20230802;/pl/oferta/2-pokojowe-mieszkanie-38m2-balkon-ID4kSEg;2-pokojowe mieszkanie 38m2 + balkon;ul. Mania, Zdrowie, Polesie, Łódź, łódzkie;Zapytaj o cenę;;2 pokoje;38.99 m²;Esembla GroupInwestycja deweloperska
20230802;/pl/oferta/3-pokojowe-mieszkanie-46m2-balkon-ID4ceFE;3-pokojowe mieszkanie 46m2 + balkon;ul. Hipoteczna, Stare Bałuty, Bałuty, Łódź, łódzkie;Zapytaj o cenę;;3 pokoje;46.42 m²;Maxbud NoveoInwestycja deweloperska
20230802;/pl/oferta/4-pokojowe-mieszkanie-75m2-3-balkony-ID4ceFY;4-pokojowe mieszkanie 75m2 + 3 balkony;ul. Hipoteczna, Stare Bałuty, Bałuty, Łódź, łódzkie;Zapytaj o cenę;;4 pokoje;75.45 m²;Maxbud NoveoInwestycja deweloperska
20230802;/pl/oferta/2-pokojowe-mieszkanie-40m2-balkon-bezposrednio-ID4mqTT;2-pokojowe mieszkanie 40m2 + balkon Bezpośrednio;ul. Hipoteczna, Stare Bałuty, Bałuty, Łódź, łódzkie;Zapytaj o cenę;;2 pokoje;40.24 m²;Maxbud NoveoInwestycja deweloperska
20230802;/pl/oferta/bezposrednio-2-pokoje-dabrowa-1-pietro-umeblowane-ID4mkR5;BEZPOŚREDNIO 2 pokoje Dąbrowa 1 piętro UMEBLOWANE!;ul. Podhalańska, Dąbrowa, Górna, Łódź, łódzkie;315 000 zł;8369 zł/m²;2 pokoje;37.64 m²;Oferta prywatna
20230802;/pl/oferta/idealne-dla-pary-singla-biuro-park-sienkiewicza-ID4mxhL;Idealne dla pary, singla, biuro, Park Sienkiewicza;Centrum, Śródmieście, Łódź, łódzkie;699 000 zł;9575 zł/m²;2 pokoje;73 m²;Oferta prywatna
20230802;/pl/oferta/twoj-kawalek-zieleni-w-miescie-ID4mxig;Twój kawałek zieleni w mieście;Radogoszcz, Bałuty, Łódź, łódzkie;450 000 zł;8495 zł/m²;3 pokoje;52.97 m²;Grupa Stryjewscy - Nieruchomości i FinanseBiuro nieruchomości
20230802;/pl/oferta/2-pokojowe-mieszkanie-54m2-loggia-bezposrednio-ID4iKNY;2-pokojowe mieszkanie 54m2 + loggia Bezpośrednio;ul. Nad Sokołówką, Julianów, Bałuty, Łódź, łódzkie;476 784 zł;8800 zł/m²;2 pokoje;54.18 m²;SGIInwestycja deweloperska
