date;link;name;where;price;perm;rooms;sqm;who;latitude;longitude;neighbourhood;suburb;postcode;id;type
2023-08-08;http://www.otodom.pl/pl/oferta/dwa-pokoje-na-nowolipkach-ID4kzNA;Dwa pokoje na Nowolipkach;ul. Nowolipki 25B, Nowolipki, Wola, Warszawa, mazowieckie;610000;16176;2;37.71;Oferta prywatna;52.242433950000006;20.98626793686036;Muranów Południowy;Wola;01-010;ID4kzNA;P
2023-08-08;http://www.otodom.pl/pl/oferta/mieszkanie-warszawa-wilanow-ID4mCoz;Mieszkanie - Warszawa Wilanów;al. Aleja Rzeczypospolitej, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie;1250000;17007;3;73.5;Eurovilla Miasteczko Wilanów Sp. z o. o.;52.1662444;21.0691559;Miasteczko Wilanów;Wilanów;02-972;ID4mCoz;N
2023-08-08;http://www.otodom.pl/pl/oferta/seg-srodkowy-strych-dzialka-taras-balkon-garaz-ID4mpgP;Seg. środkowy+strych+działka+ taras+ balkon+garaż;ul. Natalii Gąsiorowskiej, Nowodwory, Białołęka, Warszawa, mazowieckie;950000;6565;5;144.7;DSM DEWELOPMENT;52.3502397;20.9436341;Buków;Białołęka;03-149;ID4mpgP;D
2023-08-08;http://www.otodom.pl/pl/oferta/doskonala-lokalizacja-41-m-w-srodmiesciu-zlota-ID4mmBi;Doskonala lokalizacja! 41 m² w Śródmieściu, Złota;ul. Złota, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie;735000;17927;2;41.0;HOME;52.2322896;21.0100165;Centrum;Śródmieście;00-017;ID4mmBi;N
2023-08-08;http://www.otodom.pl/pl/oferta/mieszkanie-na-osiedlu-jutrzenki-114-m030-ID4mwmc;Mieszkanie na osiedlu Jutrzenki - 114/M030;ul. Jutrzenki, Salomea, Włochy, Warszawa, mazowieckie;663000;14668;2;45.2;Oferta prywatna;52.1958689;20.9306299;Wiktoryn;Włochy;02-486;ID4mwmc;P
2023-08-08;http://www.otodom.pl/pl/oferta/powisle-solec-5-pietro-z-winda-ID4lY8A;Powiśle, Solec, 5 piętro z windą;ul. Solec, Powiśle, Śródmieście, Warszawa, mazowieckie;1150000;18167;2;63.3;GP HOUSE;52.2214166;21.0449476;Cypel Czerniakowski;Śródmieście;00-468;ID4lY8A;N
2023-08-08;http://www.otodom.pl/pl/oferta/dwupokojowe-przytulne-mieszkanie-na-saskiej-kepie-ID4mpVo;Dwupokojowe przytulne mieszkanie na Saskiej Kępie;Wandy 3/7, Saska Kępa, Praga-Południe, Warszawa, mazowieckie;709000;13687;2;51.8;Oferta prywatna;52.22818285;21.059340296899137;Kępa Gocławska;Praga-Południe;03-949;ID4mpVo;P
2023-08-08;http://www.otodom.pl/pl/oferta/piekny-apartament-z-ogrodkiem-i-tarasem-na-woli-ID4mCma;Piękny apartament z ogródkiem i tarasem na Woli.;ul. Juliusza Ordona, Ulrychów, Wola, Warszawa, mazowieckie;1269000;20223;3;62.75;Metrohouse;52.27238685;20.97013285;Marymont-Potok;Żoliborz;01-690;ID4mCma;N
2023-08-08;http://www.otodom.pl/pl/oferta/4-pokoje-2-lazienki-drugie-pietro-ID4mCli;4 pokoje,2 łazienki drugie piętro !!!!;silnikowa, Szamoty, Ursus, Warszawa, mazowieckie;1370000;16022;4;85.51;Oferta prywatna;52.201716;20.8896349;Szamoty;Ursus;02-409;ID4mCli;P
2023-08-08;http://www.otodom.pl/pl/oferta/apartament-w-kamienicy-ID4m2iS;Apartament w kamienicy;Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie;4100000;42708;3;96.0;PARTNERS INTERNATIONAL;52.21944245;21.015704126921612;Marszałkowska Dzielnica Mieszkaniowa;Śródmieście;00-650;ID4m2iS;N
