date;id;latitude;link;longitude;name;neighbourhood;perm;price;rooms;sqm;suburb;type;where;who
2023-08-02;ID4mkSG;51.7716026;http://www.otodom.pl/pl/oferta/mieszkanie-54-m-lodz-ID4mkSG;19.5945279;Mieszkanie, 54 m², Łódź;Popielarnia;7778;420000;2;54.0;Łódź-Widzew;P;Mileszki, Widzew, Łódź, łódzkie;Oferta prywatna
2023-08-02;ID4kSDP;51.7762264;http://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-72m2-balkon-bezposrednio-ID4kSDP;19.4081016;3-pokojowe mieszkanie 72m2 + balkon Bezpośrednio;Mania;-1;-1;3;72.39;Łódź-Polesie;D;ul. Mania, Zdrowie, Polesie, Łódź, łódzkie;Esembla Group
2023-08-02;ID4kSEg;51.7762264;http://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-38m2-balkon-ID4kSEg;19.4081016;2-pokojowe mieszkanie 38m2 + balkon;Mania;-1;-1;2;38.99;Łódź-Polesie;D;ul. Mania, Zdrowie, Polesie, Łódź, łódzkie;Esembla Group
2023-08-02;ID4ceFE;51.7979587;http://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-46m2-balkon-ID4ceFE;19.432959;3-pokojowe mieszkanie 46m2 + balkon;Berlinek;-1;-1;3;46.42;Łódź-Bałuty;D;ul. Hipoteczna, Stare Bałuty, Bałuty, Łódź, łódzkie;Maxbud Noveo
2023-08-02;ID4ceFY;51.7979587;http://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-75m2-3-balkony-ID4ceFY;19.432959;4-pokojowe mieszkanie 75m2 + 3 balkony;Berlinek;-1;-1;4;75.45;Łódź-Bałuty;D;ul. Hipoteczna, Stare Bałuty, Bałuty, Łódź, łódzkie;Maxbud Noveo
2023-08-02;ID4mqTT;51.7979587;http://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-40m2-balkon-bezposrednio-ID4mqTT;19.432959;2-pokojowe mieszkanie 40m2 + balkon Bezpośrednio;Berlinek;-1;-1;2;40.24;Łódź-Bałuty;D;ul. Hipoteczna, Stare Bałuty, Bałuty, Łódź, łódzkie;Maxbud Noveo
2023-08-02;ID4mkR5;51.7399991;http://www.otodom.pl/pl/oferta/bezposrednio-2-pokoje-dabrowa-1-pietro-umeblowane-ID4mkR5;19.5031309;BEZPOŚREDNIO 2 pokoje Dąbrowa 1 piętro UMEBLOWANE!;Osiedle 1000-lecia Państwa Polskiego;8369;315000;2;37.64;Łódź-Górna;P;ul. Podhalańska, Dąbrowa, Górna, Łódź, łódzkie;Oferta prywatna
2023-08-02;ID4mxhL;51.7653532;http://www.otodom.pl/pl/oferta/idealne-dla-pary-singla-biuro-park-sienkiewicza-ID4mxhL;19.4574251;Idealne dla pary, singla, biuro, Park Sienkiewicza;Centrum;9575;699000;2;73.0;Łódź-Śródmieście;P;Centrum, Śródmieście, Łódź, łódzkie;Oferta prywatna
2023-08-02;ID4mxig;51.8095763;http://www.otodom.pl/pl/oferta/twoj-kawalek-zieleni-w-miescie-ID4mxig;19.4388767;Twój kawałek zieleni w mieście;Julianów-Marysin-Rogi;8495;450000;3;52.97;Łódź-Bałuty;N;Radogoszcz, Bałuty, Łódź, łódzkie;Grupa Stryjewscy - Nieruchomości i Finanse
2023-08-02;ID4iKNY;51.8036075;http://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-54m2-loggia-bezposrednio-ID4iKNY;19.4341932;2-pokojowe mieszkanie 54m2 + loggia Bezpośrednio;Radogoszcz;8800;476784;2;54.18;Łódź-Bałuty;D;ul. Nad Sokołówką, Julianów, Bałuty, Łódź, łódzkie;SGI
